ie-id,ieenterprise-id,field name,Element Semantics,Element Data Type
1,6321,hostname,identifier,string
2,6321,shelf,identifier,uint8
3,6321,slot,identifier,uint8
4,6321,port,identifier,string
7,6321,ont-id,identifier,string
8,6321,svlan,identifier,uint16
9,6321,cvlan,identifier,uint16
10,6321,sample-time,quantity,uint32
12,6321,group,identifier,string
20,6321,bin-duration,identifier,string
21,6321,bin-number,default,uint32
22,6321,start-time,default,uint32
23,6321,end-time,default,uint32
24,6321,time-elapsed,default,uint32
25,6321,suspect,default,uint8
26,6321,cause,default,string
56,6321,mac,identifier,string
103,6321,OLT-pon-util-aid,identifier,string
105,6321,OLT-ponoptical-aid,identifier,string
106,6321,OLT-ont-bin-aid,identifier,string
107,6321,ONT-eth-util-aid,identifier,string
114,6321,ONT-eth-total-aid,identifier,string
115,6321,dhcp-poolaid,default,string
118,6321,bng-gx-counter-aid,identifier,string
119,6321,bng-urlredirectaid,identifier,string
120,6321,bng-policymgmt-aid,identifier,string
121,6321,bng-arp-countersaid,identifier,string
122,6321,bng-diameterclient-aid,identifier,string
123,6321,bng-radiusclientaid,identifier,string
130,6321,interfaceethernet-aid,default,string
131,6321,interface-lag-aid,default,string
132,6321,eth-vlan-monitor-aid,identifier,string
133,6321,lag-vlan-monitor-aid,identifier,string
134,6321,pon-ont-type-utilaid,default,string
148,6321,sys-info-aid,identifier,string
200,6321,tx-octets,totalCounter,uint64
201,6321,tx-pkts,totalCounter,uint64
202,6321,tx-discards,totalCounter,uint64
203,6321,tx-errors,totalCounter,uint64
204,6321,rx-octets,totalCounter,uint64
205,6321,rx-pkts,totalCounter,uint64
206,6321,rx-discards,totalCounter,uint64
207,6321,rx-errors,totalCounter,uint64
208,6321,upstream-octets,deltacounters,uint64
209,6321,downstream-octets,deltacounters,uint64
210,6321,admitted-fixed-upstreambw,quantity,uint32
211,6321,available-fixed-upstreambw,quantity,uint32
212,6321,admitted-excessupstream-bw,quantity,uint32
213,6321,available-excessupstream-bw,quantity,uint32
230,6321,power-feedvoltage1,quantity,int32
231,6321,rx-opticalpower2,quantity,int32
232,6321,mean-opticallaunch-power2,quantity,int32
233,6321,laser-biascurrent2,quantity,uint32
234,6321,temperature,quantity,int32
235,6321,optical-channel,quantity,uint8
240,6321,upstream-biperrors,deltacounters,uint64
241,6321,upstream-missedbursts,deltacounters,uint64
242,6321,upstream-gemhec-errors,deltacounters,uint64
243,6321,upstream-bip8-err-sec,deltacounters,uint64
244,6321,upstream-bip8-severelyerr-sec,deltacounters,uint64
245,6321,upstream-bip8-unavail-sec,deltacounters,uint64
246,6321,upstream-missedbursts-err-sec,deltacounters,uint64
247,6321,upstream-feccorrectedbytes,deltacounters,uint64
248,6321,upstream-feccorrectedcode-words,deltacounters,uint64
249,6321,upstream-fecuncorrectedcode-words,deltacounters,uint64
250,6321,upstream-fectotal-codewords,deltacounters,uint64
251,6321,upstream-fecsec,deltacounters,uint64
252,6321,downstream-bip-errors,deltacounters,uint64
253,6321,downstream-bip8-err-sec,deltacounters,uint64
254,6321,downstream-bip8-severely-err-sec,deltacounters,uint64
255,6321,unavail-sec,deltacounters,uint64
256,6321,downstream-feccorrected-bytes3,deltacounters,uint64
257,6321,downstream-feccorrectedcode-words3,deltacounters,uint64
258,6321,downstream-fecuncorrectedcode-words3,deltacounters,uint64
259,6321,downstream-fectotal-codewords3,deltacounters,uint64
260,6321,downstream-fecsec3,deltacounters,uint64
270,6321,fcs-errors,totalCounter,uint64
271,6321,excessivecollision,deltacounter,uint32
272,6321,late-collision,deltacounter,uint32
273,6321,frame-too-long,deltacounter,uint32
274,6321,buffer-overflowxmit,deltacounter,uint32
275,6321,buffer-overflowrecv,deltacounter,uint32
276,6321,single-collision,deltacounter,uint32
277,6321,multiple-collision,deltacounter,uint32
278,6321,sqe-counter,deltacounter,uint32
279,6321,deferred-xmitcount,deltacounter,uint32
280,6321,internal-macxmit-error,deltacounter,uint32
281,6321,internal-macrecv-error,deltacounter,uint32
282,6321,carrier-senseerror,deltacounter,uint32
283,6321,alignment-error,deltacounter,uint32
284,6321,upstream-drop-events,deltacounters,uint64
285,6321,upstream-packets,deltacounters,uint64
286,6321,upstream-broadcastpackets,deltacounters,uint64
287,6321,upstream-multicastpackets,deltacounters,uint64
288,6321,upstream-unicastpackets,deltacounters,uint64
289,6321,upstream-crc-erroredpackets,deltacounters,uint64
290,6321,upstream-oversizepackets,totalCounter,uint64
291,6321,upstream-undersizepackets,totalCounter,uint64
292,6321,upstream-packets-64-octets,deltacounters,uint64
293,6321,upstream-packets-65-to-127-octets,deltacounters,uint64
294,6321,upstream-packets-128-to-255-octets,deltacounters,uint64
295,6321,upstream-packets-256-to-511-octets,deltacounters,uint64
296,6321,upstream-packets-512-to-1023-octets,deltacounters,uint64
297,6321,upstream-packets-1024-to-1518-octets,deltacounters,uint64
298,6321,downstream-drop-events,deltacounters,uint64
299,6321,downstream-packets,deltacounters,uint64
300,6321,downstream-broadcastpackets,deltacounters,uint64
301,6321,downstream-multicastpackets,deltacounters,uint64
302,6321,downstream-unicastpackets,deltacounters,uint64
303,6321,downstream-crc-erroredpackets,deltacounters,uint64
304,6321,downstream-oversizepackets,totalCounter,uint64
305,6321,downstream-undersizepackets,totalCounter,uint64
306,6321,downstream-galdiscarded-frames,deltacounters,uint64
307,6321,upstream-gem-frames,deltacounters,uint64
308,6321,upstream-gem-payloadbytes,deltacounters,uint64
309,6321,downstream-gem-frames,deltacounters,uint64
310,6321,downstream-gempayload-bytes,deltacounters,uint64
311,6321,gem-encryption-keyerrors,deltacounters,uint64
312,6321,upstream-gal-discardedframes,deltacounters,uint64
320,6321,admitted-assuredupstream-bw,quantity,uint32
321,6321,available-assuredupstream-bw,quantity,uint32
322,6321,fixed-upstreambytes,totalCounter,uint64
323,6321,assured-upstream-bytes,totalCounter,uint64
331,6321,flow-number,identifier,uint8
340,6321,ingress-bucketseconds,totalCounter,uint32
341,6321,ingress-bucket-bps,totalCounter,uint64
342,6321,ingress-bucketpercent,totalCounter,uint8
343,6321,egress-bucketseconds,totalCounter,uint32
344,6321,egress-bucket-bps,totalCounter,uint64
345,6321,egress-bucketpercent,totalCounter,uint8
370,6321,doze-time,deltacounters,uint32
371,6321,cyclic-sleep-time,deltacounters,uint32
372,6321,watchful-sleep-time,deltacounters,uint32
373,6321,energy-consumed,deltacounters,uint32
374,6321,cpu-percent-utilization,deltacounters,uint32
375,6321,ram-available-amount,deltacounters,uint32
376,6321,ram-utilization,deltacounters,uint32
377,6321,flash-available-amount,deltacounters,uint32
378,6321,flash-utilization,deltacounters,uint32
379,6321,software-errors,deltacounters,uint32
380,6321,errors-in-operations,deltacounters,uint32
381,6321,upstream-tx-timing-drift,deltacounters,uint32
382,6321,upstream-tx-wavelengthdrift,deltacounters,uint32
383,6321,mean-in-channel-power,deltacounters,uint32
384,6321,mean-out-of-channel-psd,deltacounters,uint32
385,6321,mean-psd-short-periodwhen-disabled,deltacounters,uint32
386,6321,mean-psd-long-periodwhen-disabled,deltacounters,uint32
600,6321,if-index,identifier,uint32
601,6321,drop-events,totalCounter,uint64
602,6321,octets,totalCounter,uint64
603,6321,pkts,totalCounter,uint64
604,6321,broadcast-pkts,totalCounter,uint64
605,6321,multicast-pkts,totalCounter,uint64
606,6321,crc-align-errors,totalCounter,uint64
607,6321,undersize-pkts,totalCounter,uint64
608,6321,oversize-pkts,totalCounter,uint64
609,6321,fragments,totalCounter,uint64
610,6321,pkts-64,totalCounter,uint64
611,6321,pkts-65to127,totalCounter,uint64
612,6321,pkts-128to255,totalCounter,uint64
613,6321,pkts-256to511,totalCounter,uint64
614,6321,pkts-512to1023,totalCounter,uint64
615,6321,pkts-1024to1518,totalCounter,uint64
616,6321,pkts-1519to2047,totalCounter,uint64
617,6321,pkts-2048to4095,totalCounter,uint64
618,6321,pkts-4096to9216,totalCounter,uint64
619,6321,pkts-9217to16383,totalCounter,uint64
620,6321,rx-unicast-pkts,totalCounter,uint64
621,6321,rx-multicast-pkts,totalCounter,uint64
622,6321,rx-broadcast-pkts,totalCounter,uint64
623,6321,rx-pause-frames,totalCounter,uint64
624,6321,rx-unknown-protos,totalCounter,uint64
625,6321,tx-unicast-pkts,totalCounter,uint64
626,6321,tx-multicast-pkts,totalCounter,uint64
627,6321,tx-broadcast-pkts,totalCounter,uint64
628,6321,tx-pause-frames,totalCounter,uint64
629,6321,align-errors,totalCounter,uint64
630,6321,jabbers,totalCounter,uint64
631,6321,rx-utilization,totalCounter,uint8
632,6321,tx-utilization,totalCounter,uint8
633,6321,rx-pps,totalCounter,uint64
634,6321,tx-pps,totalCounter,uint64
635,6321,rx-bps,runningCounter,uint64
636,6321,tx-bps,runningCounter,uint64
637,6321,rx-unicast-octets,totalCounter,uint64
638,6321,rx-multicast-octets,totalCounter,uint64
639,6321,rx-broadcast-octets,totalCounter,uint64
640,6321,tx-unicast-octets,totalCounter,uint64
641,6321,tx-multicast-octets,totalCounter,uint64
642,6321,tx-broadcast-octets,totalCounter,uint64
643,6321,role,default,string
644,6321,moduletemperature,runningCounter,string
645,6321,module-tx-power,runningCounter,string
646,6321,module-vcc,runningCounter,string
647,6321,module-rx-power,runningCounter,string
648,6321,carrier-transitions,totalCounter,uint64
