"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-40-211",,,,"User:","admin"
"Cmdline:","dstat --nocolor --output /home/admin/cmd3-24-dstat.csv -T -d -D xvdb -g -i --mem-adv --swap -n -N eth0 -p -r -y --aio --cpu-adv --fs --ipc --socket --tcp --udp --unix --vm --vm-adv",,,,"Date:","17 Jun 2017 00:01:30 UTC"
"epoch","dsk/xvdb",,"paging",,"interrupts",,,"advanced memory usage",,,,,,,,"swap",,"net/eth0",,"procs",,,"io/xvdb",,"system",,"async","total cpu usage",,,,,,,"filesystem",,"sysv ipc",,,"sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,
"epoch","read","writ","in","out","441","442","443","total","used","free","buff","cach","dirty","shmem","recl","used","free","recv","send","run","blk","new","read","writ","int","csw","#aio","usr","sys","idl","wai","hiq","siq","stl","files","inodes","msg","sem","shm","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll"
1497657690.453,8700.723,102281423.879,0,0,0.033,0.095,4.609,515699699712,1044455424,514516242432,22691840,101289984,1396736,9273344,24293376,0,0,0,0,0,0,2.655,0.509,3852.066,42968.461,2827.062,0,0.951,0.366,94.626,0.887,0,0.000,3.170,0,21391,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,14795.270,25891.435,16556.769,203528.960,0,0,0,0,0
1497657691.454,0,0,0,0,0,0,0,515699699712,1044561920,514516119552,22691840,101294080,1400832,9273344,24305664,0,0,0,0,0,0,0,0,0,112,59,0,0,0.016,99.984,0,0,0,0,0,21395,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,5,6,0,0,0,0,0,0
1497657692.454,0,0,0,0,0,0,0,515699699712,1044561920,514516119552,22691840,101294080,1400832,9273344,24305664,0,0,0,0,0,0,0,0,0,37,61,0,0.016,0.031,99.953,0,0,0,0,0,21395,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,0,0,34,0,0,0,0,0
1497657693.454,0,0,0,0,0,0,0,515699699712,1044561920,514516119552,22691840,101294080,1400832,9273344,24305664,0,0,0,0,0,0,0,0,0,34,38,0,0.016,0.016,99.969,0,0,0,0,0,21395,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,0,0,0,0,0,0,0,0
1497657694.454,0,0,0,0,0,0,0,515699699712,1044434944,514516246528,22691840,101294080,1400832,9273344,24305664,0,0,0,0,0,0,0,0,0,32,37,0,0.016,0.016,99.969,0,0,0,0,0,21395,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,0,0,0,0,0,0,0,0
1497657695.454,0,0,0,0,0,0,0,515699699712,1043927040,514515988480,22700032,101953536,2117632,9273344,24403968,0,0,0,0,0,0,1,0,0,42,112,0,0.016,0.031,99.859,0.094,0,0,0,0,21395,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,0,2,0,0,0,0,0,0
1497657696.454,0,0,0,0,0,0,0,515699699712,1043820544,514516115456,22700032,101953536,2117632,9273344,24383488,0,0,0,0,0,0,0,0,0,36,57,0,0.016,0.016,99.969,0,0,0,0,0,21395,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,0,0,30,0,0,0,0,0
1497657697.454,0,0,0,0,0,0,0,515699699712,1043820544,514516115456,22700032,101953536,2117632,9273344,24383488,0,0,0,0,0,0,0,0,0,33,42,0,0.016,0.031,99.953,0,0,0,0,0,21395,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,0,0,1,0,0,0,0,0
1497657698.454,0,0,0,0,0,0,0,515699699712,1043693568,514516242432,22700032,101953536,2117632,9273344,24383488,0,0,0,0,0,0,0,0,0,48,52,0,0.016,0.047,99.938,0,0,0,0,0,21395,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,0,0,0,0,0,0,0,0,0
1497657699.454,0,0,0,0,0,0,6,515699699712,1045639168,514376187904,22700032,237481984,137646080,9273344,26963968,0,0,504,1324,1,0,7,0,0,345,161,0,1.141,0.188,98.672,0,0,0,0,0,21401,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,33762,35089,35889,729,0,0,0,0,0
1497657700.454,0,0,0,0,0,0,7,515699699712,1046093824,514199183360,22700032,408944640,309108736,9273344,32051200,0,0,462,1610,1,0,0,0,0,302,84,0,1.375,0.219,98.406,0,0,0,0,0,21401,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,42103,42103,43358,0,0,0,0,0,0
1497657701.454,0,0,0,0,0,0,7,515699699712,1046065152,514020909056,22708224,582451200,482619392,9273344,36839424,0,0,462,1380,1,0,0,0,0,306,80,0,1.344,0.250,98.406,0,0,0,0,0,21401,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,42169,42169,43429,18,0,0,0,0,0
1497657702.454,0,0,0,0,0,0,7,515699699712,1046618112,513843142656,22708224,754733056,654901248,9273344,41771008,0,0,462,1610,1,0,0,0,0,299,73,0,1.375,0.234,98.391,0,0,0,0,0,21401,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,42223,42223,43490,0,0,0,0,0,0
1497657703.454,0,0,0,0,0,0,7,515699699712,1047031808,513664487424,22708224,928174080,828342272,9273344,46571520,0,0,462,1610,1,0,0,0,0,301,82,0,1.375,0.219,98.406,0,0,0,0,0,21401,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,42399,42399,43665,0,0,0,0,0,0
1497657704.454,0,36864,0,0,0,0,6,515699699712,1046106112,513485832192,22716416,1102934016,1003110400,9273344,51384320,0,0,462,1610,1,0,0,0,2,305,96,0,1.344,0.250,98.406,0,0,0,0,0,21401,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,42435,42435,43704,0,0,0,0,0,0
1497657705.454,0,0,0,0,0,0,13,515699699712,1047711744,513306034176,22716416,1276309504,1176485888,9273344,56201216,0,0,900,1916,1,0,0,0,0,307,99,0,1.406,0.203,98.391,0,0,0,0,0,21401,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,42513,42513,43784,43,0,0,0,0,0
1497657706.454,0,0,0,0,0,0,10,515699699712,1047887872,513126490112,22716416,1450708992,1350881280,9273344,61169664,0,0,732,2282,1,0,1,0,0,352,125,0,1.375,0.234,98.391,0,0,0,0,0,21401,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,42498,42728,43914,149,0,0,0,0,0
1497657707.454,0,0,0,0,0,0,12,515699699712,1048047616,512947326976,22724608,1624883200,1525059584,9273344,65990656,0,0,900,1686,1,0,0,0,0,313,119,0,1.422,0.172,98.406,0,0,0,0,0,21401,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,42486,42486,43757,0,0,0,0,0,0
1497657708.454,0,0,0,0,0,0,14,515699699712,1048911872,512768376832,22724608,1798189056,1698353152,9273344,70770688,0,0,1068,1982,1,0,0,0,0,339,157,0,1.344,0.281,98.375,0,0,0,0,0,21401,0,0,0,481,3,1,0,0,5,1,0,0,0,1,0,26,39,13,26,42460,42461,43735,0,0,0,0,0,0
